?value	?property	?lang	?langVar
"causative-passive"	"dervStem"	"alaaba"	
"causative-reciprocal"	"dervStem"	"alaaba"	
"causative1"	"dervStem"	"burji"	
"causative1"	"dervStem"	"hadiyya"	
"causative1"	"dervStem"	"sidaama"	
"causative1"	"dervStem"	"tsamakko"	
"causative1Causative2"	"dervStem"	"sidaama"	
"causative2"	"dervStem"	"burji"	
"causative2"	"dervStem"	"hadiyya"	
"causative2"	"dervStem"	"kambaata"	
"causative2"	"dervStem"	"maale"	
"causative2"	"dervStem"	"sidaama"	
"causative2"	"dervStem"	"tsamakko"	
"causative3"	"dervStem"	"hadiyya"	
"causativeAllomorph"	"verbMorphClass"	"alaaba"	
"causativeBenefPass"	"dervStem"	"hadiyya"	
"causativeBenefactive"	"dervStem"	"hadiyya"	
"causativeCausative"	"dervStem"	"beja"	"bishari"
"causativeD"	"dervStem"	"alaaba"	
"causativeDenominal"	"dervStem"	"hadiyya"	
"causativeDouble1"	"dervStem"	"alaaba"	
"causativeDouble2"	"dervStem"	"alaaba"	
"causativePassive"	"dervStem"	"hadiyya"	
"causativeSimple2"	"dervStem"	"alaaba"	
"causativeSimplel1"	"dervStem"	"alaaba"	
"causativeSimplel2"	"dervStem"	"alaaba"	
"causative_causative-1"	"dervStem"	"wolaytta"	
"causative_causative-2"	"dervStem"	"wolaytta"	
"causative_iterative"	"dervStem"	"wolaytta"	
"causative_iterative_causative"	"dervStem"	"wolaytta"	
"causative_passive"	"dervStem"	"wolaytta"	
"cc2a"	"conjClass"	"iraqw"	
"cc2b"	"conjClass"	"iraqw"	
"cc3a"	"conjClass"	"iraqw"	
"cc3b"	"conjClass"	"iraqw"	
"cc3c"	"conjClass"	"iraqw"	
"cc3d"	"conjClass"	"iraqw"	
"cc3e"	"conjClass"	"iraqw"	
"circumstantial"	"tam"	"coptic"	"sahidic"
"class1"	"inflClass"	"gawwada"	
"class1a"	"inflClass"	"gawwada"	
"class1b"	"inflClass"	"gawwada"	
"class2"	"inflClass"	"gawwada"	
"clitic"	"proClass"	"arabic"	
"clitic"	"proClass"	"rendille"	
"clitic"	"verbMorphClass"	"boni"	"jara"
"clitic"	"verbMorphClass"	"boni"	"kilii"
"co-Subject"	"clauseType"	"alaaba"	
"coTemporal"	"tam"	"khamtanga"	
"collaborative"	"dervStem"	"beja"	"beniamer"
"comb-Extension"	"dervStemAug"	"bayso"	
"combination"	"dervStem"	"kambaata"	
"combo"	"dervStem"	"burji"	
"comitative"	"case"	"khamtanga"	
"comitative"	"case"	"shinassha"	
"comitative"	"case"	"tsamakko"	
"comitative"	"case"	"wolaytta"	
"comitative"	"case"	"yemsa"	
"comitative"	"cliticClass"	"boni"	"jara"
"comitative"	"cliticClass"	"boni"	"kilii"
"comitative"	"selector"	"dahalo"	
"command"	"mood"	"shinassha"	
"command"	"mood"	"wolaytta"	
"command"	"mood"	"yemsa"	
"compPastGer"	"tam"	"khamtanga"	
"compSem"	"pdgmType"	"beja"	"beniamer"
"compSubordinate"	"tam"	"kemant"	
"comparative"	"pdgmType"	"bilin"	
"comparative"	"pdgmType"	"dhaasanac"	
"comparative"	"pdgmType"	"dhaasanac"	"standard"
"comparative"	"pdgmType"	"kemant"	
"comparative"	"pdgmType"	"somali"	"standard"
"comparative"	"tam"	"khamtanga"	
"completative"	"dervStem"	"shinassha"	
"compound"	"case"	"khamtanga"	
"compound"	"clauseType"	"awngi"	
"compound"	"complement"	"shinassha"	
"compound"	"complement"	"wolaytta"	
"compound"	"pdgmType"	"afar"	
"compound"	"pdgmType"	"beja"	"beniamer"
"compound"	"pdgmType"	"sidaama"	
"compound"	"pdgmType"	"somali"	"standard"
"compound"	"tokenType"	"beja"	"arteiga"
"compound"	"tokenType"	"oromo"	
"compound"	"verbMorphClass"	"yaaku"	
"compoundIntransitive"	"conjClass"	"afar"	
"compoundStative"	"conjClass"	"afar"	
"compoundTransitive"	"conjClass"	"afar"	
"compoundVerbs"	"verbMorphClass"	"bilin"	
"concessive"	"selCat"	"iraqw"	
"concessive"	"selMood"	"iraqw"	
"concessive"	"tam"	"rendille"	
"cond1"	"tam"	"yemsa"	
"cond2"	"tam"	"yemsa"	
"conditional"	"clauseConjugation"	"coptic"	"sahidic"
"conditional"	"clauseType"	"maale"	
"conditional"	"mood"	"shinassha"	
"conditional"	"mood"	"yemsa"	
"conditional"	"selCat"	"iraqw"	
"conditional"	"selMood"	"iraqw"	
"conditional"	"tam"	"beja"	"beniamer"
"conditional"	"tam"	"beja"	"bishari"
"conditional"	"tam"	"beja"	"hadendowa"
"conditional"	"tam"	"coptic"	"sahidic"
"conditional"	"tam"	"oromo"	
"conditional"	"tam"	"shinassha"	
"conditional"	"tam"	"somali"	"standard"
"conditional1"	"tam"	"afar"	
"conditional1"	"tam"	"khamtanga"	
"conditional2"	"tam"	"afar"	
"conditional2"	"tam"	"khamtanga"	
"conditional3"	"tam"	"khamtanga"	
"conditionalPerfect"	"tam"	"beja"	"beniamer"
"conditionalPerfect"	"tam"	"beja"	"hadendowa"
"conditionalPredicative"	"tam"	"beja"	"hadendowa"
"conditionalPresent"	"tam"	"beja"	"beniamer"
"conj1"	"conjClass"	"iraqw"	
"conj1"	"conjClass"	"koorete"	
"conj1"	"conjClass"	"shinassha"	
"conj1"	"conjClass"	"yemsa"	
"conj2"	"conjClass"	"iraqw"	
"conj2"	"conjClass"	"koorete"	
"conj2"	"conjClass"	"shinassha"	
"conj2"	"conjClass"	"yemsa"	
"conj2a"	"conjClass"	"iraqw"	
"conj2a"	"conjClass"	"yemsa"	
"conj2b"	"conjClass"	"iraqw"	
"conj3"	"conjClass"	"iraqw"	
"conj3"	"conjClass"	"shinassha"	
"conj3"	"conjClass"	"yemsa"	
"conj3a"	"conjClass"	"iraqw"	
"conj3a"	"conjClass"	"yemsa"	
"conj3b"	"conjClass"	"iraqw"	
"conj3b"	"conjClass"	"yemsa"	
"conj3c"	"conjClass"	"iraqw"	
"conj3d"	"conjClass"	"iraqw"	
"conj3e"	"conjClass"	"iraqw"	
"conj4"	"conjClass"	"shinassha"	
"conj5"	"conjClass"	"shinassha"	
"conjA"	"conjClass"	"tsamakko"	
"conjA-conjBComparison"	"verbMorphClass"	"tsamakko"	
"conjB"	"conjClass"	"tsamakko"	
"conjClass"	"mood"	"shinassha"	
"conjClass"	"tam"	"shinassha"	
"conjPattern"	"verbMorphClass"	"yemsa"	
"conjugation1"	"conjClass"	"bayso"	
"conjugation1"	"conjClass"	"bilin"	
"conjugation1"	"conjClass"	"khamtanga"	
"conjugation2"	"conjClass"	"bayso"	
"conjugation2"	"conjClass"	"bilin"	
"conjugation2"	"conjClass"	"khamtanga"	
"conjugation3"	"conjClass"	"bayso"	
"conjugation3"	"conjClass"	"bilin"	
"conjugation3"	"conjClass"	"khamtanga"	
"conjugation4"	"conjClass"	"bayso"	
"conjugation4"	"conjClass"	"khamtanga"	
"conjugation5a"	"conjClass"	"khamtanga"	
"conjugation5b"	"conjClass"	"khamtanga"	
"conjunctive"	"participle"	"beja"	"arteiga"
"conjunctive"	"tam"	"coptic"	"sahidic"
"conjunctive"	"tenseName"	"saho"	
"connective"	"configuration"	"sidaama"	
"connective"	"tam"	"sidaama"	
"consecutive"	"selCat"	"iraqw"	
"consecutive"	"selTense"	"iraqw"	
"consecutive"	"tam"	"khamtanga"	
"consecutive"	"tam"	"tsamakko"	
"consecutive"	"tense1"	"gawwada"	
"consecutive2"	"selCat"	"iraqw"	
"consecutive2"	"selTense"	"iraqw"	
"consonant"	"stemClass"	"khamtanga"	
"consonant"	"stemFin"	"beja"	"beniamer"
"constr"	"state"	"arabic"	
"construct"	"imperativeForm"	"coptic"	"sahidic"
"construct"	"infinitiveForm"	"coptic"	"sahidic"
"continuous"	"tam"	"sidaama"	
"contracting"	"subconjClass"	"arbore"	
"contrafactual"	"tam"	"afar"	
"contrafactualStative"	"tam"	"afar"	
"converb"	"clauseType"	"awngi"	
"converb"	"tam"	"alaaba"	
"converb"	"tam"	"awngi"	
"converb1"	"clauseType"	"maale"	
"converb2"	"clauseType"	"maale"	
"converb3"	"clauseType"	"maale"	
"converbCoRef"	"tam"	"alaaba"	
"converbDifRef"	"tam"	"alaaba"	
"cooperative"	"dervStem"	"beja"	"beniamer"
"copA"	"copForm"	"yaaku"	
"copAn"	"morphClass"	"beja"	"beniamer"
"copAn"	"pdgmSubType"	"beja"	"beniamer"
"copB"	"copForm"	"yaaku"	
"copLoc"	"copType"	"bilin"	
"copLoc"	"verbMorphClass"	"yaaku"	
"copMain"	"copType"	"bilin"	
"copPossession"	"pdgmSubType"	"elmolo"	
"coptic"	"lang"	"coptic"	"sahidic"
"copula"	"pdgmSubType"	"beja"	"arteiga"
"copula"	"pdgmSubType"	"kemant"	
"copula"	"pdgmSubType"	"oromo"	
"copula"	"selBE"	"iraqw"	
"copula"	"tam"	"saho"	
"copula"	"type"	"boni"	"kilii"
"copula"	"verbMorphClass"	"alaaba"	
"copula"	"verbMorphClass"	"bayso"	
"copula"	"verbMorphClass"	"bilin"	
"copula"	"verbMorphClass"	"boni"	"kilii"
"copula"	"verbMorphClass"	"shinassha"	
"copula"	"verbMorphClass"	"yaaku"	
"copulaExist"	"verbMorphClass"	"khamtanga"	
"d-subordinate"	"tam"	"kemant"	
"dExtClass"	"extended"	"dhaasanac"	
"dahalo"	"lang"	"dahalo"	
"datInd"	"proClass"	"beja"	"bishari"
"dative"	"case"	"akkadian"	"OB"
"dative"	"case"	"alaaba"	
"dative"	"case"	"hebrew"	
"dative"	"case"	"koorete"	
"dative"	"case"	"maale"	
"dative"	"case"	"shinassha"	
"dative"	"case"	"tsamakko"	
"dative"	"case"	"wolaytta"	
"dative"	"case"	"yemsa"	
"dawr"	"pdgmLexLabel"	"gawwada"	
"deAdjectival"	"type"	"boni"	"kilii"
"declarative"	"clauseType"	"maale"	
"declarative"	"focus"	"koorete"	
"defClass1"	"defClass"	"beja"	"arteiga"
"defClass2"	"defClass"	"beja"	"arteiga"
"defClass3"	"defClass"	"beja"	"arteiga"
"defMarker"	"proClass"	"beja"	"arteiga"
"defMarker"	"proClass"	"tsamakko"	
"defective"	"focus"	"burji"	
"definite"	"aspect"	"yaaku"	
"definite"	"defClass"	"arbore"	
"definite"	"defClass"	"awngi"	
"definite"	"defClass"	"khamtanga"	
"definite"	"tam"	"awngi"	
"deictic"	"proClass"	"arbore"	
"deleted"	"headNoun"	"yaaku"	
"demAdnom"	"proClass"	"sidaama"	
"demAdv"	"proClass"	"sidaama"	
"demAreaAdnom"	"proClass"	"sidaama"	
"demFar"	"conjClass"	"yaaku"	
"demNear"	"conjClass"	"yaaku"	
"demPro"	"proClass"	"koorete"	
"demRef"	"conjClass"	"yaaku"	
"demSpec"	"proClass"	"sidaama"	
"demSpecAdv"	"proClass"	"sidaama"	
"demonstrative"	"cliticType"	"rendille"	
"demonstrative"	"proClass"	"akkadian"	"OB"
"demonstrative"	"proClass"	"arabic"	
"demonstrative"	"proClass"	"beja"	"arteiga"
"demonstrative"	"proClass"	"burji"	
"demonstrative"	"proClass"	"gedeo"	
"demonstrative"	"proClass"	"hadiyya"	
"demonstrative"	"proClass"	"hebrew"	
"demonstrative"	"proClass"	"kambaata"	
"demonstrative"	"proClass"	"khamtanga"	
"demonstrative"	"proClass"	"koorete"	
"demonstrative"	"proClass"	"sidaama"	
"demonstrative"	"proClass"	"syriac"	
"demonstrative"	"proClass"	"tsamakko"	
"demonstrative"	"proClass"	"yaaku"	
"demonstrativeNear"	"morphClass"	"coptic"	"sahidic"
"demonstrativeRemote"	"morphClass"	"coptic"	"sahidic"
"denominal"	"dervStem"	"burji"	
"denominal"	"dervStem"	"maale"	
"denominalDeadjectival"	"dervStem"	"sidaama"	
"denominativeFromNClass1"	"dervStem"	"wolaytta"	
"denominativeFromNClass2"	"dervStem"	"wolaytta"	
"denominativeFromNClass3"	"dervStem"	"wolaytta"	
"dependent"	"proClass"	"egyptian"	"middle"
"dependent"	"selBE"	"iraqw"	
"dependent"	"tam"	"dhaasanac"	
"dependentConditional"	"tam"	"gedeo"	
"dependentPurposive"	"tam"	"gedeo"	
"dervPatterns"	"pdgmSubType"	"dhaasanac"	
"dervStem"	"pdgmSubType"	"kemant"	
"dervStem"	"verbMorphClass"	"alaaba"	
"dervStem"	"verbMorphClass"	"bayso"	
"dervStem"	"verbMorphClass"	"burji"	
"dervStem"	"verbMorphClass"	"elmolo"	
"dervStem"	"verbMorphClass"	"gawwada"	
"dervStem"	"verbMorphClass"	"hadiyya"	
"dervStem"	"verbMorphClass"	"hebrew"	
"dervStem"	"verbMorphClass"	"kambaata"	
"dervStem"	"verbMorphClass"	"koorete"	
"dervStem"	"verbMorphClass"	"maale"	
"dervStem"	"verbMorphClass"	"shinassha"	
"dervStem"	"verbMorphClass"	"sidaama"	
"dervStem"	"verbMorphClass"	"wolaytta"	
"dervStem"	"verbMorphClass"	"yaaku"	
"dervStem"	"verbMorphClass"	"yemsa"	
"dervStemForm"	"pdgmType"	"beja"	"beniamer"
"dervStemForm"	"verbMorphClass"	"beja"	"hadendowa"
"dervStemFormation"	"verbMorphClass"	"tsamakko"	
"dervStemMarker"	"verbMorphClass"	"dhaasanac"	
"dervStemSuff"	"verbMorphClass"	"iraqw"	
"dervSuff"	"cliticType"	"boni"	"jara"
"dervSuff"	"cliticType"	"boni"	"kilii"
"dervSuff"	"verbMorphClass"	"bilin"	
"des1"	"tam"	"yemsa"	
"des2"	"tam"	"yemsa"	
"desiderative"	"clauseType"	"awngi"	
"desiderative"	"mood"	"shinassha"	
"desiderative"	"mood"	"wolaytta"	
"desiderative"	"mood"	"yemsa"	
"desiderative"	"tam"	"yemsa"	
"detransitivize"	"dervStem"	"alaaba"	
"dhaasanac"	"lang"	"dhaasanac"	
"dhaasanac"	"lang"	"dhaasanac"	"standard"
"dhaasanac"	"lang"	"somali"	"standard"
"dif"	"lexlabel"	"beja"	"hadendowa"
"diff"	"categ"	"tsamakko"	
"diffSubjSuff"	"verbMorphClass"	"alaaba"	
"dirAT"	"direction"	"sidaama"	
"dirFROM"	"direction"	"sidaama"	
"dirTO"	"direction"	"sidaama"	
"directive"	"case"	"shinassha"	
"directive"	"case"	"tsamakko"	
"directive"	"case"	"wolaytta"	
"directive"	"case"	"yemsa"	
"directive"	"selCat"	"iraqw"	
"distal"	"deixis"	"tsamakko"	
"distal2"	"deixis"	"tsamakko"	
"dubitative"	"tamStemForm"	"bayso"	
"dubitativePast"	"tam"	"bayso"	
"durative"	"clauseType"	"awngi"	
"durative"	"dervStem"	"iraqw"	
"e-a"	"ablautClass"	"hebrew"	
"e-stem"	"stemClass"	"arbore"	
"e-uClass"	"ablautClass"	"akkadian"	"OB"
"eCC"	"rootClass"	"akkadian"	"OB"
"eClass"	"ablautClass"	"akkadian"	"OB"
"eForm--invar"	"mainStem"	"afar"	
"ee-stem"	"stemClass"	"arbore"	
"eeb"	"pdgmLexLabel"	"alaaba"	
"egyptian"	"lang"	"egyptian"	"middle"
"elmolo"	"lang"	"elmolo"	
"emphatic"	"case"	"afar"	
"emphatic"	"case"	"saho"	
"emphatic"	"dervStemAug"	"beja"	"beniamer"
"emphatic"	"emphatic"	"dhaasanac"	
"emphatic-m"	"case"	"afar"	
"equative"	"postposition"	"beja"	"arteiga"
"exclusive"	"cohesion"	"dhaasanac"	
"exclusive"	"cohesion"	"rendille"	
"exemplary"	"pdgmType"	"alaaba"	
"exemplary"	"pdgmType"	"arbore"	
"exemplary"	"pdgmType"	"burji"	
"exemplary"	"pdgmType"	"dhaasanac"	
"exemplary"	"pdgmType"	"kemant"	
"exemplary"	"pdgmType"	"khamtanga"	
"existence"	"copType"	"oromo"	
"existence"	"verbMorphClass"	"shinassha"	
"existence"	"verbMorphClass"	"sidaama"	
"exit"	"case"	"yemsa"	
"exobligative"	"clauseType"	"awngi"	
"expectational"	"selCat"	"iraqw"	
"expectational"	"selTense"	"iraqw"	
"exx"	"verbMorphClass"	"gawwada"	
"f"	"genPoss"	"beja"	"hadendowa"
"f"	"genderCop"	"beja"	"bishari"
"f"	"genderHead"	"akkadian"	"OB"
"f"	"genderHead"	"alaaba"	
"f"	"genderHead"	"beja"	"atmaan"
"f"	"genderHead"	"beja"	"beniamer"
"f"	"genderHead"	"beja"	"bishari"
"f"	"genderHead"	"beja"	"hadendowa"
"f"	"genderHead"	"burji"	
"f"	"genderHead"	"coptic"	"sahidic"
"f"	"genderHead"	"gawwada"	
"f"	"genderHead"	"gedeo"	
"f"	"genderHead"	"khamtanga"	
"f"	"genderHeadRel"	"kemant"	
"f"	"genderN1"	"beja"	"hadendowa"
"f"	"genderN2"	"beja"	"hadendowa"
"f"	"genderObj"	"bayso"	
"f"	"genderObj"	"beja"	"atmaan"
"f"	"genderObj"	"tsamakko"	
"f"	"genderP1"	"beja"	"bishari"
"f"	"genderPoss"	"arbore"	
"f"	"genderPoss"	"beja"	"atmaan"
"f"	"genderPoss"	"beja"	"beniamer"
"f"	"genderPoss"	"beja"	"bishari"
"f"	"genderPoss"	"burji"	
"f"	"genderPoss"	"coptic"	"sahidic"
"f"	"genderPoss"	"gedeo"	
"f"	"genderPoss"	"khamtanga"	
"f"	"genderPoss"	"somali"	"standard"
"f"	"genderRef"	"wolaytta"	
"f"	"headGen"	"iraqw"	
"f"	"numberGender"	"bayso"	
"f"	"objectGender"	"coptic"	"sahidic"
"f"	"type"	"dahalo"	
"factitive1"	"dervStem"	"iraqw"	
"factitive2"	"dervStem"	"iraqw"	
"far"	"deixis"	"akkadian"	"OB"
"far"	"deixis"	"arabic"	
"far"	"deixis"	"arbore"	
"far"	"deixis"	"beja"	"arteiga"
"far"	"deixis"	"burji"	
"far"	"deixis"	"gedeo"	
"far"	"deixis"	"hadiyya"	
"far"	"deixis"	"hebrew"	
"far"	"deixis"	"iraqw"	
"far"	"deixis"	"kambaata"	
"far"	"deixis"	"khamtanga"	
"far"	"deixis"	"rendille"	
"far"	"deixis"	"syriac"	
"far"	"selector"	"dahalo"	
"farDist"	"deixis"	"koorete"	
"farMid"	"deixis"	"koorete"	
"fiiniy"	"pdgmLexLabel"	"shinassha"	
"final-i-e"	"patternClass"	"elmolo"	
"finite"	"verbType"	"dhaasanac"	
"finiteVerb"	"pdgmSubType"	"kemant"	
"foc"	"focus"	"rendille"	
"focus"	"cliticClass"	"boni"	"jara"
"focus"	"cliticClass"	"boni"	"kilii"
"focus"	"proClass"	"boni"	"jara"
"focus"	"verbClass"	"burji"	
"focusStructure"	"verbMorphClass"	"gawwada"	
"form1"	"dervStem"	"arabic"	
"form2"	"dervStem"	"arabic"	
"form3"	"dervStem"	"arabic"	
"formSet1"	"conjClass"	"yaaku"	
"formSet2"	"conjClass"	"yaaku"	
"formSet3"	"conjClass"	"yaaku"	
"formSet4"	"conjClass"	"yaaku"	
"formSet5"	"conjClass"	"yaaku"	
"formation"	"verbMorphClass"	"beja"	"hadendowa"
"free"	"focus"	"burji"	
"frequent"	"token-frequency"	"beja"	"atmaan"
"frequentative"	"dervCat"	"elmolo"	
"frequentative"	"dervStem"	"bilin"	
"full"	"clauseType"	"somali"	"standard"
"full"	"focus"	"burji"	
"full"	"form"	"iraqw"	
"fullReducedVariant"	"clauseType"	"somali"	"standard"
"future"	"participle"	"beja"	"arteiga"
"future"	"tam"	"bayso"	
"future"	"tam"	"beja"	"arteiga"
"future"	"tam"	"beja"	"atmaan"
"future"	"tam"	"beja"	"hadendowa"
"future"	"tam"	"bilin"	
"future"	"tam"	"coptic"	"sahidic"
"future"	"tam"	"khamtanga"	
"future"	"tam"	"shinassha"	
"future"	"tam"	"somali"	"standard"
"future"	"tam"	"tsamakko"	
"future"	"tam"	"wolaytta"	
"future"	"tam"	"yaaku"	
"future"	"tam"	"yemsa"	
"future"	"tense2"	"gawwada"	
"future1"	"tam"	"bayso"	
"future1"	"tam"	"beja"	"beniamer"
"future1"	"tam"	"beja"	"bishari"
"future1"	"tenseName"	"saho"	
"future2"	"tam"	"bayso"	
"future2"	"tam"	"beja"	"beniamer"
"future2"	"tam"	"beja"	"bishari"
"future2"	"tenseName"	"saho"	
"future2Var"	"tam"	"beja"	"beniamer"
"future3"	"tam"	"bayso"	
"future3"	"tam"	"beja"	"beniamer"
"future3"	"tam"	"coptic"	"sahidic"
"future3"	"tenseName"	"saho"	
"futureDefinite"	"tam"	"oromo"	
"futureIndefinite"	"tam"	"oromo"	
"futureIngressive"	"tam"	"yemsa"	
"futureIntensive"	"tam"	"burji"	
"futurePerfect"	"tam"	"oromo"	
"futurePerfect"	"tam"	"shinassha"	
"futurePerfect"	"tam"	"yemsa"	
"futureProgressive"	"tam"	"shinassha"	
"futureProgressive"	"tam"	"wolaytta"	
"futureProgressive"	"tam"	"yemsa"	
"futureProximate"	"tam"	"alaaba"	
"futureProximate1"	"tam"	"bayso"	
"futureProximate2"	"tam"	"bayso"	
"futurePunctual"	"tam"	"shinassha"	
"futurePunctual"	"tam"	"yemsa"	
"futurePunctualSub"	"tam"	"yemsa"	
"gaf"	"pdgmLexLabel"	"alaaba"	
"gawwada"	"lang"	"gawwada"	
"gedeo"	"lang"	"gedeo"	
"geez"	"lang"	"geez"	
"gemination"	"pluralClass"	"khamtanga"	
"genAcc"	"case"	"akkadian"	"OB"
"genAdjPart"	"nounMorphClass"	"beja"	"hadendowa"
"genBeforePossSuff"	"nounMorphClass"	"beja"	"hadendowa"
"genObj"	"case"	"arabic"	
"gen_PossPred"	"proClass"	"beja"	"hadendowa"
"gender"	"nounMorphClass"	"khamtanga"	
"general"	"tam"	"arbore"	
"general"	"tam"	"khamtanga"	
"generic"	"dervStem"	"tsamakko"	
"genitive"	"case"	"akkadian"	"OB"
"genitive"	"case"	"alaaba"	
"genitive"	"case"	"beja"	"hadendowa"
"genitive"	"case"	"sidaama"	
"genitive"	"case"	"syriac"	
"genitive"	"case"	"wolaytta"	
"genitive"	"case"	"yemsa"	
"genitive"	"caseHead"	"beja"	"bishari"
"gerPres"	"tam"	"yemsa"	
"gerPret"	"tam"	"yemsa"	
"gerund"	"mood"	"shinassha"	
"gerund"	"mood"	"wolaytta"	
"gerund"	"mood"	"yemsa"	
"gerund"	"nomForm"	"beja"	"hadendowa"
"gerund"	"nonFiniteForm"	"beja"	"hadendowa"
"gerund"	"nonFiniteForm"	"oromo"	
"gerund"	"tam"	"beja"	"hadendowa"
"gerund"	"tam"	"kemant"	
"gerund"	"tam"	"khamtanga"	
"gerund"	"tam"	"yemsa"	
"goal"	"cliticClass"	"boni"	"jara"
"goal"	"cliticClass"	"boni"	"kilii"
"group1"	"rootStructure"	"maale"	
"group2"	"rootStructure"	"maale"	
"hCC"	"rootClass"	"hebrew"	
"hFin"	"stemClass"	"beja"	"atmaan"
"habitual"	"aspect"	"boni"	"jara"
"habitual"	"aspect"	"boni"	"kilii"
"habitual"	"dervStem"	"iraqw"	
"habitual"	"dervStem"	"yemsa"	
"habitual"	"selector"	"dahalo"	
"habitual"	"tam"	"shinassha"	
"habitual"	"tense2"	"gawwada"	
"habitualPartialReduplication"	"dervStem"	"yaaku"	
"habitualTotalReduplication"	"dervStem"	"yaaku"	
"had-Class"	"stemAltClass"	"arbore"	
"hadendowa"	"langVar"	"beja"	"arteiga"
"hadendowa"	"langVar"	"beja"	"hadendowa"
