?conjClass	?derivedStemAug	?formType	?multiLex	?nonFiniteForm	?participle	?pdgmType	?polarity	?rootClass	?tam	?tamStemClass	?token
		"Stem"			"Common"	"Structure"	"Affirmative"		"Aorist"	"AoristClass"	"-iidbil-"
		"Stem"			"Common"	"Structure"	"Affirmative"		"Imperative"	"PastClass"	"-dbil-"
		"Stem"			"Common"	"Structure"	"Affirmative"		"Jussive"	"ModClass"	"-iidbil-"
		"Stem"			"Common"	"Structure"	"Affirmative"		"Optative"	"ModClass"	"-iidbil-"
		"Stem"			"Common"	"Structure"	"Affirmative"		"Past"	"PastClass"	"-dbil-"
		"Stem"			"Common"	"Structure"	"Affirmative"		"Present"	"PresClass"	"-eedbil-"
		"Stem"			"Common"	"Structure"	"Affirmative"		"Present"	"PresSgClass"	"-danbiil-"
		"Stem"			"Common"	"Structure"	"Negative"		"Imperative"	"NegClass"	"-dabiil-"
		"Stem"			"Common"	"Structure"	"Negative"		"Optative"	"NegClass"	"-dabiil-"
		"Stem"			"Common"	"Structure"	"Negative"		"Present"	"PastClass"	"-dbil-"
		"Stem"			"Conjunctive"	"Structure"	"Affirmative"		"Common"	"PartClass"	"dibl-"
		"Stem"			"Conjunctive"	"Structure"	"Negative"		"Common"	"NegClass"	"-dabiil-"
		"Stem"			"Future"	"Structure"	"Affirmative"		"Common"	"PartClass"	"dibl-"
		"Stem"			"Past"	"Structure"	"Affirmative"		"Common"	"PartClass"	"dibl-"
		"Stem"			"Present"	"Structure"	"Affirmative"		"Common"	"PartClass"	"dibl-"
		"Stem"			"Present"	"Structure"	"Negative"		"Common"	"NegClass"	"-dabiil-"
"Prefix"				"Participle"	"Conjunctive"						"dibil-tií"
"Prefix"				"Participle"	"Future"						"dibl-át"
"Prefix"				"Participle"	"Negative"						"baa-dabiíl"
"Prefix"				"Participle"	"Past"						"dibl-aà"
"Prefix"				"Participle"	"Present"						"dibl-ée"
"Prefix"				"participle exponents"	"Conjunctive"						"dibil-tií"
"Prefix"				"participle exponents"	"Future"						"dibl-át"
"Prefix"				"participle exponents"	"Negative"						"baa-dabiíl"
"Prefix"				"participle exponents"	"Past"						"dibl-aà"
"Prefix"				"participle exponents"	"Present"						"dibl-ée"
"Prefix"	"Intensive"	"Stem"						"CCC"		"AoristClass"	"-ii-dbal-"
"Prefix"	"Intensive"	"Stem"						"CCC"		"ModClass"	"-ii-dbal-"
"Prefix"	"Intensive"	"Stem"						"CCC"		"NegClass"	"-daabiil-"
"Prefix"	"Intensive"	"Stem"						"CCC"		"PartClass"	"daabl-"
"Prefix"	"Intensive"	"Stem"						"CCC"		"PastClass"	"-daabil-"
"Prefix"	"Intensive"	"Stem"						"CCC"		"PresClass"	"-ee-dbil-"
"Prefix"	"Intensive"	"Stem"						"CCY"		"AoristClass"	"-ii-dgi"
"Prefix"	"Intensive"	"Stem"						"CCY"		"ModClass"	"-ii-dga"
"Prefix"	"Intensive"	"Stem"						"CCY"		"NegClass"	"-daagi-"
"Prefix"	"Intensive"	"Stem"						"CCY"		"PartClass"	"daag-"
"Prefix"	"Intensive"	"Stem"						"CCY"		"PastClass"	"-daag-"
"Prefix"	"Intensive"	"Stem"						"CCY"		"PresClass"	"-ee-dgi-"
"Prefix"	"Intensive"	"Stem"						"CVC"		"AoristClass"	"-ii-liw-"
"Prefix"	"Intensive"	"Stem"						"CVC"		"ModClass"	"-ii-líw-"
"Prefix"	"Intensive"	"Stem"						"CVC"		"NegClass"	"-laaw-"
"Prefix"	"Intensive"	"Stem"						"CVC"		"PartClass"	"laaw-"
"Prefix"	"Intensive"	"Stem"						"CVC"		"PastClass"	"-laaw-"
"Prefix"	"Intensive"	"Stem"						"CVC"		"PresClass"	"-ee-liw- "
"Prefix"	"Simple"					"Structure"		"CCC"			"kitìb-"
"Prefix"	"Simple"					"Structure"		"CCC"			"finìk-"
"Prefix"	"Simple"					"Structure"		"CCC"			"dibìl-"
"Prefix"	"Simple"					"Structure"		"CCC"			"kitìm-"
"Prefix"	"Simple"					"Structure"		"CCC"			"dilìb-"
"Prefix"	"Simple"					"Structure"		"CCC"			"kwibìs-"
"Prefix"	"Simple"					"Structure"		"CCY"			"digiì-"
"Prefix"	"Simple"					"Structure"		"CCY"			"miriì-"
"Prefix"	"Simple"					"Structure"		"CCY"			"firiì-"
"Prefix"	"Simple"					"Structure"		"CCY"			"šifiì-"
"Prefix"	"Simple"					"Structure"		"CVC"			"min-"
"Prefix"	"Simple"					"Structure"		"CVC"			"díf-"
"Prefix"	"Simple"					"Structure"		"CVC"			"bis-"
"Prefix"	"Simple"					"Structure"		"CVC"			"rib-"
"Prefix"	"Simple"					"Structure"		"CVC"			"liw-"
"Prefix"	"Simple"					"Structure"		"CVC"			"dir-"
"Prefix"	"Simple"	"Stem"						"CCC"		"AoristClass"	"-ii-dbíl-"
"Prefix"	"Simple"	"Stem"						"CCC"		"ModClass"	"-ii-dbíl-"
"Prefix"	"Simple"	"Stem"						"CCC"		"NegClass"	"-dabíil-"
"Prefix"	"Simple"	"Stem"						"CCC"		"PartClass"	"dibl-"
"Prefix"	"Simple"	"Stem"						"CCC"		"PastClass"	"-dbíl-"
"Prefix"	"Simple"	"Stem"						"CCC"		"PresClass"	"-ee-dbíl-"
"Prefix"	"Simple"	"Stem"						"CCC"		"PresSgClass"	"-danbíil-"
"Prefix"	"Simple"	"Stem"						"CCY"		"AoristClass"	"-dìig-"
"Prefix"	"Simple"	"Stem"						"CCY"		"ModClass"	"-dàag-"
"Prefix"	"Simple"	"Stem"						"CCY"		"NegClass"	"-dagì-"
"Prefix"	"Simple"	"Stem"						"CCY"		"PartClass"	"digy-"
"Prefix"	"Simple"	"Stem"						"CCY"		"PastClass"	"-dgì-"
"Prefix"	"Simple"	"Stem"						"CCY"		"PresClass"	"-déeg-"
"Prefix"	"Simple"	"Stem"						"CCY"		"PresSgClass"	"-dangì-"
"Prefix"	"Simple"	"Stem"						"CVC"		"AoristClass"	"-ii-líw-"
"Prefix"	"Simple"	"Stem"						"CVC"		"ModClass"	"-ii-líw-"
"Prefix"	"Simple"	"Stem"						"CVC"		"NegClass"	"-líiw-"
"Prefix"	"Simple"	"Stem"						"CVC"		"PartClass"	"líw-"
"Prefix"	"Simple"	"Stem"						"CVC"		"PastClass"	"-líw-"
"Prefix"	"Simple"	"Stem"						"CVC"		"PresClass"	"-ee-líw-"
"Prefix"	"Simple"	"Stem"						"CVC"		"PresSgClass"	"-nliiw- "
"Suffix"				"Participle"	"Conjunctive"						"tam-eetì"
"Suffix"				"Participle"	"Future"						"tam-át"
"Suffix"				"Participle"	"Negative"						"baa-tam-ày"
"Suffix"				"Participle"	"Past"						"tam-aà"
"Suffix"				"Participle"	"Present"						"tam-ée"
"Suffix"				"participle exponents"	"Conjunctive"						"tam-eetì"
"Suffix"				"participle exponents"	"Future"						"tam-át"
"Suffix"				"participle exponents"	"Negative"						"baa-tam-ày"
"Suffix"				"participle exponents"	"Past"						"tam-aà"
"Suffix"				"participle exponents"	"Present"						"tam-ée"
"Suffix"	"Simple"					"Structure"		"Invar"			"šuum-"
"Suffix"	"Simple"					"Structure"		"Invar"			"gwa?-"
"Suffix"	"Simple"					"Structure"		"Invar"			"raat-"
"Suffix"	"Simple"					"Structure"		"Invar"			"nuun-"
"Suffix"	"Simple"					"Structure"		"Invar"			"doob-"
"Suffix"	"Simple"					"Structure"		"Invar"			"rih-"
"Suffix"	"Simple"					"Structure"		"Invar"			"?ad-"
"Suffix"	"Simple"					"Structure"		"Invar"			"kileew-"
"Suffix"	"Simple"					"Structure"		"Invar"			"tam-"
