?langLabel	?conjClass	?derivedStem	?derivedStemAug	?formType	?pdgmType	?polarity	?rootClass	?tam	?num	?pers	?gen	?token
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Present"	"Plural"	"Person2"	"Common"	"t-eebis- `na"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Present"	"Plural"	"Person3"	"Common"	"?-eebis- `na"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Imperative"	"Singular"	"Person2"	"Masc"	"b-àa-dabiil- `a"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Imperative"	"Singular"	"Person2"	"Fem"	"b-íi-dabiil- `i"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Imperative"	"Plural"	"Person2"	"Common"	"b-àa-dabiil- `na"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Optative"	"Singular"	"Person1"	"Common"	"b-aa-dabíil"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Optative"	"Singular"	"Person2"	"Masc"	"bi-t-dabiil- `a"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Optative"	"Singular"	"Person2"	"Fem"	"bi-t-dabiil- `i"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Optative"	"Singular"	"Person3"	"Masc"	"b-ii-dabíil"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Optative"	"Singular"	"Person3"	"Fem"	"bi-t-dabíil"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Optative"	"Plural"	"Person1"	"Common"	"bi-n-dabíil"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Optative"	"Plural"	"Person2"	"Common"	"bi-t-dabiil- `na"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Optative"	"Plural"	"Person3"	"Common"	"b-ii-dabiil- `na"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Present"	"Singular"	"Person1"	"Common"	"k-aà-dbíl"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Present"	"Singular"	"Person2"	"Masc"	"kí-t-dbil- `a"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Present"	"Singular"	"Person2"	"Fem"	"kí-t-dbil- `i"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Present"	"Singular"	"Person3"	"Masc"	"k-iì-dbíl"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Present"	"Singular"	"Person3"	"Fem"	"kí-t-dbíl"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Present"	"Plural"	"Person1"	"Common"	"kí-n-dbíl"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Present"	"Plural"	"Person2"	"Common"	"kí-t-dbil- `na"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Present"	"Plural"	"Person3"	"Common"	"k-iì-dbil- `na"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Imperative"	"Singular"	"Person2"	"Masc"	"b-àa-dagii- `a"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Imperative"	"Singular"	"Person2"	"Fem"	"b-íi-dagii- `"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Imperative"	"Plural"	"Person2"	"Common"	"b-àa-dagii- `na"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Optative"	"Singular"	"Person1"	"Common"	"b-aa-dagì"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Optative"	"Singular"	"Person2"	"Masc"	"bi-t-dagii- `a"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Optative"	"Singular"	"Person2"	"Fem"	"bi-t-dagii- `"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Optative"	"Singular"	"Person3"	"Masc"	"b-ii-dagì"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Optative"	"Singular"	"Person3"	"Fem"	"bi-t-dagì"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Optative"	"Plural"	"Person1"	"Common"	"bi-n-dagì"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Optative"	"Plural"	"Person2"	"Common"	"bi-t-dagii- `na"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Optative"	"Plural"	"Person3"	"Common"	"b-ii-dagii- `na"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Present"	"Singular"	"Person1"	"Common"	"k-aà-dgì"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Present"	"Singular"	"Person2"	"Masc"	"kí-t-dgii- `a"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Present"	"Singular"	"Person2"	"Fem"	"kí-t-dgii- `"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Present"	"Singular"	"Person3"	"Masc"	"k-iì-dgì"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Present"	"Singular"	"Person3"	"Fem"	"kí-t-dgì"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Present"	"Plural"	"Person1"	"Common"	"kí-n-dgì"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Present"	"Plural"	"Person2"	"Common"	"kí-t-dgii- `na"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Present"	"Plural"	"Person3"	"Common"	"k-iì-dgii- `na"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Imperative"	"Singular"	"Person2"	"Masc"	"b-àa-biis-à"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Imperative"	"Singular"	"Person2"	"Fem"	"b-íi-biis-ì"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Imperative"	"Plural"	"Person2"	"Common"	"b-àa-biis- `na"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Optative"	"Singular"	"Person1"	"Common"	"b-aa-bíis"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Optative"	"Singular"	"Person2"	"Masc"	"bi-t-biis- `a"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Optative"	"Singular"	"Person2"	"Fem"	"bi-t-biis- `i"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Optative"	"Singular"	"Person3"	"Masc"	"b-ii-bíis"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Optative"	"Singular"	"Person3"	"Fem"	"bi-t-bíis"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Optative"	"Plural"	"Person1"	"Common"	"bi-n-bíis"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Optative"	"Plural"	"Person2"	"Common"	"bi-t-biis- `na"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Optative"	"Plural"	"Person3"	"Common"	"b-ii-biis- `na"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Present"	"Singular"	"Person1"	"Common"	"k-aà-bís"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Present"	"Singular"	"Person2"	"Masc"	"kí-t-bis- `a"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Present"	"Singular"	"Person2"	"Fem"	"kí-t-bis- `i"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Present"	"Singular"	"Person3"	"Masc"	"k-iì-bís"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Present"	"Singular"	"Person3"	"Fem"	"kí-t-bís"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Present"	"Plural"	"Person1"	"Common"	"kí-n-bís"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Present"	"Plural"	"Person2"	"Common"	"kí-t-bis- `na"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Present"	"Plural"	"Person3"	"Common"	"k-iì-bis- `na"
"Beja-arteiga"	"Prefix"	"B"	"Simple"		"Structure"		"CCC"	"Imperative"	"Singular"	"Person2"	"Masc"	"finìk-a"
"Beja-arteiga"	"Prefix"	"B"	"Simple"		"Structure"		"CCC"	"Imperative"	"Singular"	"Person2"	"Masc"	"kwibìs-a"
"Beja-arteiga"	"Prefix"	"B"	"Simple"		"Structure"		"CCC"	"Imperative"	"Singular"	"Person2"	"Masc"	"dibìl-a"
"Beja-arteiga"	"Prefix"	"B"	"Simple"		"Structure"		"CCC"	"Imperative"	"Singular"	"Person2"	"Masc"	"dilìb-a"
"Beja-arteiga"	"Prefix"	"B"	"Simple"		"Structure"		"CCC"	"Imperative"	"Singular"	"Person2"	"Masc"	"kitìb-a"
"Beja-arteiga"	"Prefix"	"B"	"Simple"		"Structure"		"CCC"	"Imperative"	"Singular"	"Person2"	"Masc"	"kitìm-a"
"Beja-arteiga"	"Prefix"	"B"	"Simple"		"Structure"		"CCY"	"Imperative"	"Singular"	"Person2"	"Masc"	"digiì-a"
"Beja-arteiga"	"Prefix"	"B"	"Simple"		"Structure"		"CCY"	"Imperative"	"Singular"	"Person2"	"Masc"	"miriì-a"
"Beja-arteiga"	"Prefix"	"B"	"Simple"		"Structure"		"CCY"	"Imperative"	"Singular"	"Person2"	"Masc"	"šifiì-a"
"Beja-arteiga"	"Prefix"	"B"	"Simple"		"Structure"		"CCY"	"Imperative"	"Singular"	"Person2"	"Masc"	"firiì-a"
"Beja-arteiga"	"Prefix"	"B"	"Simple"		"Structure"		"CVC"	"Imperative"	"Singular"	"Person2"	"Masc"	"liw-à"
"Beja-arteiga"	"Prefix"	"B"	"Simple"		"Structure"		"CVC"	"Imperative"	"Singular"	"Person2"	"Masc"	"dir-à"
"Beja-arteiga"	"Prefix"	"B"	"Simple"		"Structure"		"CVC"	"Imperative"	"Singular"	"Person2"	"Masc"	"bis-à"
"Beja-arteiga"	"Prefix"	"B"	"Simple"		"Structure"		"CVC"	"Imperative"	"Singular"	"Person2"	"Masc"	"rib-à"
"Beja-arteiga"	"Prefix"	"B"	"Simple"		"Structure"		"CVC"	"Imperative"	"Singular"	"Person2"	"Masc"	"min-à"
"Beja-arteiga"	"Prefix"	"B"	"Simple"		"Structure"		"CVC"	"Imperative"	"Singular"	"Person2"	"Masc"	"díf-a"
"Beja-arteiga"	"Suffix"					"Affirmative"		"Aorist"	"Singular"	"Person1"	"Common"	"tam-ì"
"Beja-arteiga"	"Suffix"					"Affirmative"		"Aorist"	"Singular"	"Person2"	"Masc"	"tam-tii- `a"
"Beja-arteiga"	"Suffix"					"Affirmative"		"Aorist"	"Singular"	"Person2"	"Fem"	"tam-tii- `"
"Beja-arteiga"	"Suffix"					"Affirmative"		"Aorist"	"Singular"	"Person3"	"Masc"	"tam-ì"
"Beja-arteiga"	"Suffix"					"Affirmative"		"Aorist"	"Singular"	"Person3"	"Fem"	"tam-tì"
"Beja-arteiga"	"Suffix"					"Affirmative"		"Aorist"	"Plural"	"Person1"	"Common"	"tam-nì"
"Beja-arteiga"	"Suffix"					"Affirmative"		"Aorist"	"Plural"	"Person2"	"Common"	"tam-tiìna"
"Beja-arteiga"	"Suffix"					"Affirmative"		"Aorist"	"Plural"	"Person3"	"Common"	"tam-iìn"
"Beja-arteiga"	"Suffix"					"Affirmative"		"Imperative"	"Singular"	"Person2"	"Masc"	"tam-àa"
"Beja-arteiga"	"Suffix"					"Affirmative"		"Imperative"	"Singular"	"Person2"	"Fem"	"tam-ìi"
"Beja-arteiga"	"Suffix"					"Affirmative"		"Imperative"	"Plural"	"Person2"	"Common"	"tam-aa- `na"
"Beja-arteiga"	"Suffix"					"Affirmative"		"Optative"	"Singular"	"Person1"	"Common"	"bà-tam-ì"
"Beja-arteiga"	"Suffix"					"Affirmative"		"Optative"	"Singular"	"Person2"	"Masc"	"bà-tam-tii- `a"
"Beja-arteiga"	"Suffix"					"Affirmative"		"Optative"	"Singular"	"Person2"	"Fem"	"bà-tam-tii- `"
"Beja-arteiga"	"Suffix"					"Affirmative"		"Optative"	"Singular"	"Person3"	"Masc"	"bà-tam-ì"
"Beja-arteiga"	"Suffix"					"Affirmative"		"Optative"	"Singular"	"Person3"	"Fem"	"bà-tam-tì"
"Beja-arteiga"	"Suffix"					"Affirmative"		"Optative"	"Plural"	"Person1"	"Common"	"bà-tam-nì"
"Beja-arteiga"	"Suffix"					"Affirmative"		"Optative"	"Plural"	"Person2"	"Common"	"bà-tam-tiìna"
"Beja-arteiga"	"Suffix"					"Affirmative"		"Optative"	"Plural"	"Person3"	"Common"	"bà-tam-iìn"
"Beja-arteiga"	"Suffix"					"Affirmative"		"Past"	"Singular"	"Person1"	"Common"	"tam-àn"
"Beja-arteiga"	"Suffix"					"Affirmative"		"Past"	"Singular"	"Person2"	"Masc"	"tam-taa- `"
"Beja-arteiga"	"Suffix"					"Affirmative"		"Past"	"Singular"	"Person2"	"Fem"	"tam-taa- `i"
"Beja-arteiga"	"Suffix"					"Affirmative"		"Past"	"Singular"	"Person3"	"Masc"	"tam-yà"
"Beja-arteiga"	"Suffix"					"Affirmative"		"Past"	"Singular"	"Person3"	"Fem"	"tam-tà"
"Beja-arteiga"	"Suffix"					"Affirmative"		"Past"	"Plural"	"Person1"	"Common"	"tam-nà"
"Beja-arteiga"	"Suffix"					"Affirmative"		"Past"	"Plural"	"Person2"	"Common"	"tam-taàna"
"Beja-arteiga"	"Suffix"					"Affirmative"		"Past"	"Plural"	"Person3"	"Common"	"tam-yaàn"
"Beja-arteiga"	"Suffix"					"Affirmative"		"Present"	"Singular"	"Person1"	"Common"	"tam-àní"
"Beja-arteiga"	"Suffix"					"Affirmative"		"Present"	"Singular"	"Person2"	"Masc"	"tam-tinii- `a"
"Beja-arteiga"	"Suffix"					"Affirmative"		"Present"	"Singular"	"Person2"	"Fem"	"tam-tinii- `"
"Beja-arteiga"	"Suffix"					"Affirmative"		"Present"	"Singular"	"Person3"	"Masc"	"tam-íiní"
"Beja-arteiga"	"Suffix"					"Affirmative"		"Present"	"Singular"	"Person3"	"Fem"	"tam-tíní"
"Beja-arteiga"	"Suffix"					"Affirmative"		"Present"	"Plural"	"Person1"	"Common"	"tam-này"
"Beja-arteiga"	"Suffix"					"Affirmative"		"Present"	"Plural"	"Person2"	"Common"	"tam-teéna"
"Beja-arteiga"	"Suffix"					"Affirmative"		"Present"	"Plural"	"Person3"	"Common"	"tam-eén"
"Beja-arteiga"	"Suffix"					"Negative"		"Imperative"	"Singular"	"Person2"	"Masc"	"b-àa-tam-aa- `"
"Beja-arteiga"	"Suffix"					"Negative"		"Imperative"	"Singular"	"Person2"	"Fem"	"b-íi-tam-a- `y"
"Beja-arteiga"	"Suffix"					"Negative"		"Imperative"	"Plural"	"Person2"	"Common"	"b-àa-tam-aa- `na"
"Beja-arteiga"	"Suffix"					"Negative"		"Optative"	"Singular"	"Person1"	"Common"	"b-aa-tam-ày"
"Beja-arteiga"	"Suffix"					"Negative"		"Optative"	"Singular"	"Person2"	"Masc"	"bi-t-tam-ay- `a"
"Beja-arteiga"	"Suffix"					"Negative"		"Optative"	"Singular"	"Person2"	"Fem"	"bi-t-tam-ay- `"
"Beja-arteiga"	"Suffix"					"Negative"		"Optative"	"Singular"	"Person3"	"Masc"	"b-ii-tam-ày"
"Beja-arteiga"	"Suffix"					"Negative"		"Optative"	"Singular"	"Person3"	"Fem"	"bi-t-tam-ày"
"Beja-arteiga"	"Suffix"					"Negative"		"Optative"	"Plural"	"Person1"	"Common"	"bi-n-tam-ày"
"Beja-arteiga"	"Suffix"					"Negative"		"Optative"	"Plural"	"Person2"	"Common"	"bi-t-tam-ay- `na"
"Beja-arteiga"	"Suffix"					"Negative"		"Optative"	"Plural"	"Person3"	"Common"	"b-ii-tam-ay- `na"
"Beja-arteiga"	"Suffix"					"Negative"		"Present"	"Singular"	"Person1"	"Common"	"kà-tam-àn"
"Beja-arteiga"	"Suffix"					"Negative"		"Present"	"Singular"	"Person2"	"Masc"	"kà-tam-taa- `"
"Beja-arteiga"	"Suffix"					"Negative"		"Present"	"Singular"	"Person2"	"Fem"	"kà-tam-taa- `i"
"Beja-arteiga"	"Suffix"					"Negative"		"Present"	"Singular"	"Person3"	"Masc"	"kà-tam-yà"
"Beja-arteiga"	"Suffix"					"Negative"		"Present"	"Singular"	"Person3"	"Fem"	"kà-tam-tà"
"Beja-arteiga"	"Suffix"					"Negative"		"Present"	"Plural"	"Person1"	"Common"	"kà-tam-nà"
"Beja-arteiga"	"Suffix"					"Negative"		"Present"	"Plural"	"Person2"	"Common"	"kà-tam-taàna"
"Beja-arteiga"	"Suffix"					"Negative"		"Present"	"Plural"	"Person3"	"Common"	"kà-tam-yaàn"
"Beja-arteiga"	"Suffix"	"B"	"Simple"		"Structure"		"Invariable"	"Imperative"	"Singular"	"Person2"	"Masc"	"raat-àa"
"Beja-arteiga"	"Suffix"	"B"	"Simple"		"Structure"		"Invariable"	"Imperative"	"Singular"	"Person2"	"Masc"	"šuum-àa"
"Beja-arteiga"	"Suffix"	"B"	"Simple"		"Structure"		"Invariable"	"Imperative"	"Singular"	"Person2"	"Masc"	"tam-àa"
"Beja-arteiga"	"Suffix"	"B"	"Simple"		"Structure"		"Invariable"	"Imperative"	"Singular"	"Person2"	"Masc"	"rih-àa"
"Beja-arteiga"	"Suffix"	"B"	"Simple"		"Structure"		"Invariable"	"Imperative"	"Singular"	"Person2"	"Masc"	"nuun-àa"
"Beja-arteiga"	"Suffix"	"B"	"Simple"		"Structure"		"Invariable"	"Imperative"	"Singular"	"Person2"	"Masc"	"kileew-àa"
"Beja-arteiga"	"Suffix"	"B"	"Simple"		"Structure"		"Invariable"	"Imperative"	"Singular"	"Person2"	"Masc"	"?ad-àa"
"Beja-arteiga"	"Suffix"	"B"	"Simple"		"Structure"		"Invariable"	"Imperative"	"Singular"	"Person2"	"Masc"	"gwa?-àa"
"Beja-arteiga"	"Suffix"	"B"	"Simple"		"Structure"		"Invariable"	"Imperative"	"Singular"	"Person2"	"Masc"	"doob-àa"
