?langLabel	?conjClass	?conjType	?derivedStem	?derivedStemAug	?formType	?lexnote	?nonFiniteForm	?participle	?pdgmType	?polarity	?rootClass	?tam	?tamStemClass	?token
"Beja-arteiga"			"B"		"Stem"			"Common"	"Structure"	"Affirmative"		"Aorist"	"AoristClass"	"-iidbil-"
"Beja-arteiga"			"B"		"Stem"			"Common"	"Structure"	"Affirmative"		"Imperative"	"PastClass"	"-dbil-"
"Beja-arteiga"			"B"		"Stem"			"Common"	"Structure"	"Affirmative"		"Jussive"	"ModClass"	"-iidbil-"
"Beja-arteiga"			"B"		"Stem"			"Common"	"Structure"	"Affirmative"		"Optative"	"ModClass"	"-iidbil-"
"Beja-arteiga"			"B"		"Stem"			"Common"	"Structure"	"Affirmative"		"Past"	"PastClass"	"-dbil-"
"Beja-arteiga"			"B"		"Stem"			"Common"	"Structure"	"Affirmative"		"Present"	"PresClass"	"-eedbil-"
"Beja-arteiga"			"B"		"Stem"			"Common"	"Structure"	"Affirmative"		"Present"	"PresSgClass"	"-danbiil-"
"Beja-arteiga"			"B"		"Stem"			"Common"	"Structure"	"Negative"		"Imperative"	"NegClass"	"-dabiil-"
"Beja-arteiga"			"B"		"Stem"			"Common"	"Structure"	"Negative"		"Optative"	"NegClass"	"-dabiil-"
"Beja-arteiga"			"B"		"Stem"			"Common"	"Structure"	"Negative"		"Present"	"PastClass"	"-dbil-"
"Beja-arteiga"			"B"		"Stem"			"Conjunctive"	"Structure"	"Affirmative"		"Common"	"PartClass"	"dibl-"
"Beja-arteiga"			"B"		"Stem"			"Conjunctive"	"Structure"	"Negative"		"Common"	"NegClass"	"-dabiil-"
"Beja-arteiga"			"B"		"Stem"			"Future"	"Structure"	"Affirmative"		"Common"	"PartClass"	"dibl-"
"Beja-arteiga"			"B"		"Stem"			"Past"	"Structure"	"Affirmative"		"Common"	"PartClass"	"dibl-"
"Beja-arteiga"			"B"		"Stem"			"Present"	"Structure"	"Affirmative"		"Common"	"PartClass"	"dibl-"
"Beja-arteiga"			"B"		"Stem"			"Present"	"Structure"	"Negative"		"Common"	"NegClass"	"-dabiil-"
"Beja-arteiga"	"Prefix"		"B"				"Participle"	"Conjunctive"						"dibil-tií"
"Beja-arteiga"	"Prefix"		"B"				"Participle"	"Future"						"dibl-át"
"Beja-arteiga"	"Prefix"		"B"				"Participle"	"Negative"						"baa-dabiíl"
"Beja-arteiga"	"Prefix"		"B"				"Participle"	"Past"						"dibl-aà"
"Beja-arteiga"	"Prefix"		"B"				"Participle"	"Present"						"dibl-ée"
"Beja-arteiga"	"Prefix"		"B"				"participle exponents"	"Conjunctive"						"dibil-tií"
"Beja-arteiga"	"Prefix"		"B"				"participle exponents"	"Future"						"dibl-át"
"Beja-arteiga"	"Prefix"		"B"				"participle exponents"	"Negative"						"baa-dabiíl"
"Beja-arteiga"	"Prefix"		"B"				"participle exponents"	"Past"						"dibl-aà"
"Beja-arteiga"	"Prefix"		"B"				"participle exponents"	"Present"						"dibl-ée"
"Beja-arteiga"	"Prefix"		"B"	"Intensive"	"Stem"						"CCC"		"AoristClass"	"-ii-dbal-"
"Beja-arteiga"	"Prefix"		"B"	"Intensive"	"Stem"						"CCC"		"ModClass"	"-ii-dbal-"
"Beja-arteiga"	"Prefix"		"B"	"Intensive"	"Stem"						"CCC"		"NegClass"	"-daabiil-"
"Beja-arteiga"	"Prefix"		"B"	"Intensive"	"Stem"						"CCC"		"PartClass"	"daabl-"
"Beja-arteiga"	"Prefix"		"B"	"Intensive"	"Stem"						"CCC"		"PastClass"	"-daabil-"
"Beja-arteiga"	"Prefix"		"B"	"Intensive"	"Stem"						"CCC"		"PresClass"	"-ee-dbil-"
"Beja-arteiga"	"Prefix"		"B"	"Intensive"	"Stem"						"CCY"		"AoristClass"	"-ii-dgi"
"Beja-arteiga"	"Prefix"		"B"	"Intensive"	"Stem"						"CCY"		"ModClass"	"-ii-dga"
"Beja-arteiga"	"Prefix"		"B"	"Intensive"	"Stem"						"CCY"		"NegClass"	"-daagi-"
"Beja-arteiga"	"Prefix"		"B"	"Intensive"	"Stem"						"CCY"		"PartClass"	"daag-"
"Beja-arteiga"	"Prefix"		"B"	"Intensive"	"Stem"						"CCY"		"PastClass"	"-daag-"
"Beja-arteiga"	"Prefix"		"B"	"Intensive"	"Stem"						"CCY"		"PresClass"	"-ee-dgi-"
"Beja-arteiga"	"Prefix"		"B"	"Intensive"	"Stem"						"CVC"		"AoristClass"	"-ii-liw-"
"Beja-arteiga"	"Prefix"		"B"	"Intensive"	"Stem"						"CVC"		"ModClass"	"-ii-líw-"
"Beja-arteiga"	"Prefix"		"B"	"Intensive"	"Stem"						"CVC"		"NegClass"	"-laaw-"
"Beja-arteiga"	"Prefix"		"B"	"Intensive"	"Stem"						"CVC"		"PartClass"	"laaw-"
"Beja-arteiga"	"Prefix"		"B"	"Intensive"	"Stem"						"CVC"		"PastClass"	"-laaw-"
"Beja-arteiga"	"Prefix"		"B"	"Intensive"	"Stem"						"CVC"		"PresClass"	"-ee-liw- "
"Beja-arteiga"	"Prefix"		"B"	"Simple"					"Structure"		"CCC"			"kitìb-"
"Beja-arteiga"	"Prefix"		"B"	"Simple"					"Structure"		"CCC"			"dibìl-"
"Beja-arteiga"	"Prefix"		"B"	"Simple"					"Structure"		"CCC"			"dilìb-"
"Beja-arteiga"	"Prefix"		"B"	"Simple"					"Structure"		"CCC"			"kwibìs-"
"Beja-arteiga"	"Prefix"		"B"	"Simple"					"Structure"		"CCC"			"finìk-"
"Beja-arteiga"	"Prefix"		"B"	"Simple"					"Structure"		"CCC"			"kitìm-"
"Beja-arteiga"	"Prefix"		"B"	"Simple"					"Structure"		"CCY"			"miriì-"
"Beja-arteiga"	"Prefix"		"B"	"Simple"					"Structure"		"CCY"			"firiì-"
"Beja-arteiga"	"Prefix"		"B"	"Simple"					"Structure"		"CCY"			"digiì-"
"Beja-arteiga"	"Prefix"		"B"	"Simple"					"Structure"		"CCY"			"šifiì-"
"Beja-arteiga"	"Prefix"		"B"	"Simple"					"Structure"		"CVC"			"díf-"
"Beja-arteiga"	"Prefix"		"B"	"Simple"					"Structure"		"CVC"			"liw-"
"Beja-arteiga"	"Prefix"		"B"	"Simple"					"Structure"		"CVC"			"rib-"
"Beja-arteiga"	"Prefix"		"B"	"Simple"					"Structure"		"CVC"			"min-"
"Beja-arteiga"	"Prefix"		"B"	"Simple"					"Structure"		"CVC"			"bis-"
"Beja-arteiga"	"Prefix"		"B"	"Simple"					"Structure"		"CVC"			"dir-"
"Beja-arteiga"	"Prefix"		"B"	"Simple"	"Stem"						"CCC"		"AoristClass"	"-ii-dbíl-"
"Beja-arteiga"	"Prefix"		"B"	"Simple"	"Stem"						"CCC"		"ModClass"	"-ii-dbíl-"
"Beja-arteiga"	"Prefix"		"B"	"Simple"	"Stem"						"CCC"		"NegClass"	"-dabíil-"
"Beja-arteiga"	"Prefix"		"B"	"Simple"	"Stem"						"CCC"		"PartClass"	"dibl-"
"Beja-arteiga"	"Prefix"		"B"	"Simple"	"Stem"						"CCC"		"PastClass"	"-dbíl-"
"Beja-arteiga"	"Prefix"		"B"	"Simple"	"Stem"						"CCC"		"PresClass"	"-ee-dbíl-"
"Beja-arteiga"	"Prefix"		"B"	"Simple"	"Stem"						"CCC"		"PresSgClass"	"-danbíil-"
"Beja-arteiga"	"Prefix"		"B"	"Simple"	"Stem"						"CCY"		"AoristClass"	"-dìig-"
"Beja-arteiga"	"Prefix"		"B"	"Simple"	"Stem"						"CCY"		"ModClass"	"-dàag-"
"Beja-arteiga"	"Prefix"		"B"	"Simple"	"Stem"						"CCY"		"NegClass"	"-dagì-"
"Beja-arteiga"	"Prefix"		"B"	"Simple"	"Stem"						"CCY"		"PartClass"	"digy-"
"Beja-arteiga"	"Prefix"		"B"	"Simple"	"Stem"						"CCY"		"PastClass"	"-dgì-"
"Beja-arteiga"	"Prefix"		"B"	"Simple"	"Stem"						"CCY"		"PresClass"	"-déeg-"
"Beja-arteiga"	"Prefix"		"B"	"Simple"	"Stem"						"CCY"		"PresSgClass"	"-dangì-"
"Beja-arteiga"	"Prefix"		"B"	"Simple"	"Stem"						"CVC"		"AoristClass"	"-ii-líw-"
"Beja-arteiga"	"Prefix"		"B"	"Simple"	"Stem"						"CVC"		"ModClass"	"-ii-líw-"
"Beja-arteiga"	"Prefix"		"B"	"Simple"	"Stem"						"CVC"		"NegClass"	"-líiw-"
"Beja-arteiga"	"Prefix"		"B"	"Simple"	"Stem"						"CVC"		"PartClass"	"líw-"
"Beja-arteiga"	"Prefix"		"B"	"Simple"	"Stem"						"CVC"		"PastClass"	"-líw-"
"Beja-arteiga"	"Prefix"		"B"	"Simple"	"Stem"						"CVC"		"PresClass"	"-ee-líw-"
"Beja-arteiga"	"Prefix"		"B"	"Simple"	"Stem"						"CVC"		"PresSgClass"	"-nliiw- "
"Beja-arteiga"	"Prefix"		"M"	"Intensive"					"Structure"		"CCC"			"-mee-bdaan-"
"Beja-arteiga"	"Prefix"		"M"	"Intensive"					"Structure"		"CCY"			"-mee-šwaay-"
"Beja-arteiga"	"Prefix"		"M"	"Intensive"					"Structure"		"CVC"			"-mee-niiy-"
"Beja-arteiga"	"Prefix"		"M"	"Intensive"	"Stem"						"CCC"		"AoristClass"	"-m-ii-dbil-"
"Beja-arteiga"	"Prefix"		"M"	"Intensive"	"Stem"						"CCC"		"ModClass"	"-m-ii-dbil-"
"Beja-arteiga"	"Prefix"		"M"	"Intensive"	"Stem"						"CCC"		"NegClass"	"-m-ee-dbiil-"
"Beja-arteiga"	"Prefix"		"M"	"Intensive"	"Stem"						"CCC"		"PartClass"	"?amee-dab(aa)l-"
"Beja-arteiga"	"Prefix"		"M"	"Intensive"	"Stem"						"CCC"		"PastClass"	"-m-ee-dbaal-"
"Beja-arteiga"	"Prefix"		"M"	"Intensive"	"Stem"						"CCC"		"PresClass"	"-m-ee-dbiil- "
"Beja-arteiga"	"Prefix"		"M"	"Intensive"	"Stem"						"CCY"		"AoristClass"	"-m-ii-dgi-"
"Beja-arteiga"	"Prefix"		"M"	"Intensive"	"Stem"						"CCY"		"ModClass"	"-m-ii-dga-"
"Beja-arteiga"	"Prefix"		"M"	"Intensive"	"Stem"						"CCY"		"NegClass"	"-m-ee-dgi-"
"Beja-arteiga"	"Prefix"		"M"	"Intensive"	"Stem"						"CCY"		"PartClass"	"?amee-dag(aa)y"
"Beja-arteiga"	"Prefix"		"M"	"Intensive"	"Stem"						"CCY"		"PastClass"	"-m-ee-dgaay-"
"Beja-arteiga"	"Prefix"		"M"	"Intensive"	"Stem"						"CCY"		"PresClass"	"-m-ee-dgi-"
"Beja-arteiga"	"Prefix"		"M"	"Intensive"	"Stem"						"CVC"		"AoristClass"	"⊤"
"Beja-arteiga"	"Prefix"		"M"	"Intensive"	"Stem"						"CVC"		"ModClass"	"⊤"
"Beja-arteiga"	"Prefix"		"M"	"Intensive"	"Stem"						"CVC"		"NegClass"	"⊤"
"Beja-arteiga"	"Prefix"		"M"	"Intensive"	"Stem"						"CVC"		"PartClass"	"⊤"
"Beja-arteiga"	"Prefix"		"M"	"Intensive"	"Stem"						"CVC"		"PastClass"	"⊤"
"Beja-arteiga"	"Prefix"		"M"	"Intensive"	"Stem"						"CVC"		"PresClass"	"⊤"
"Beja-arteiga"	"Prefix"		"M"	"Simple"	"Stem"						"CCC"		"AoristClass"	"-m-dibil-"
"Beja-arteiga"	"Prefix"		"M"	"Simple"	"Stem"						"CCC"		"ModClass"	"-m-dibil-"
"Beja-arteiga"	"Prefix"		"M"	"Simple"	"Stem"						"CCC"		"NegClass"	"-m-dabiil-"
"Beja-arteiga"	"Prefix"		"M"	"Simple"	"Stem"						"CCC"		"PartClass"	"?am-dab(aa)l-"
"Beja-arteiga"	"Prefix"		"M"	"Simple"	"Stem"						"CCC"		"PastClass"	"-m-dabaal-"
"Beja-arteiga"	"Prefix"		"M"	"Simple"	"Stem"						"CCC"		"PresClass"	"-m-dabiil-"
"Beja-arteiga"	"Prefix"		"M"	"Simple"	"Stem"						"CCY"		"AoristClass"	"-m-dig-"
"Beja-arteiga"	"Prefix"		"M"	"Simple"	"Stem"						"CCY"		"ModClass"	"-m-diga-"
"Beja-arteiga"	"Prefix"		"M"	"Simple"	"Stem"						"CCY"		"NegClass"	"-m-dagi-"
"Beja-arteiga"	"Prefix"		"M"	"Simple"	"Stem"						"CCY"		"PartClass"	"?am-dag(aa)y"
"Beja-arteiga"	"Prefix"		"M"	"Simple"	"Stem"						"CCY"		"PastClass"	"-m-dagaay-"
"Beja-arteiga"	"Prefix"		"M"	"Simple"	"Stem"						"CCY"		"PresClass"	"-m-dagi-"
"Beja-arteiga"	"Prefix"		"M"	"Simple"	"Stem"						"CVC"		"AoristClass"	"-m-uu-liw-"
"Beja-arteiga"	"Prefix"		"M"	"Simple"	"Stem"						"CVC"		"ModClass"	"-m-uu-liw-"
"Beja-arteiga"	"Prefix"		"M"	"Simple"	"Stem"						"CVC"		"NegClass"	"-m-oo-liiw-"
"Beja-arteiga"	"Prefix"		"M"	"Simple"	"Stem"						"CVC"		"PartClass"	"?am-oo-laaw-"
"Beja-arteiga"	"Prefix"		"M"	"Simple"	"Stem"						"CVC"		"PastClass"	"-m-oo-laaw"
"Beja-arteiga"	"Prefix"		"M"	"Simple"	"Stem"						"CVC"		"PresClass"	"-m-oo-liiw- "
"Beja-arteiga"	"Prefix"		"R"	"Simple"					"Structure"		"CCC"			"-šbab-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"					"Structure"		"CCC"			"-skat-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"					"Structure"		"CCC"			"-mkar-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"					"Structure"		"CCC"			"-gnaf-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"					"Structure"		"CCY"			"-hme-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"					"Structure"		"CCY"			"-dge-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"					"Structure"		"CVC"			"-sar-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"					"Structure"		"CVC"			"-sa?-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"					"Structure"		"CVC"			"-faf-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"					"Structure"		"CVC"			"-man-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"					"Structure"		"CVC"			"-law-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"	"Stem"						"CCC"		"AoristClass"	"-t-dibil-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"	"Stem"						"CCC"		"ModClass"	"-t-dibil-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"	"Stem"						"CCC"		"NegClass"	"-dbaal-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"	"Stem"						"CCC"		"PartClass"	"dibal-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"	"Stem"						"CCC"		"PastClass"	"-dbal-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"	"Stem"						"CCC"		"PresClass"	"-t-dabiil-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"	"Stem"						"CCY"		"AoristClass"	"-t-dig- "
"Beja-arteiga"	"Prefix"		"R"	"Simple"	"Stem"						"CCY"		"ModClass"	"-t-diga-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"	"Stem"						"CCY"		"NegClass"	"-dgaay-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"	"Stem"						"CCY"		"PartClass"	"dige-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"	"Stem"						"CCY"		"PastClass"	"-dge-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"	"Stem"						"CCY"		"PresClass"	"-t-dagi-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"	"Stem"						"CVC"		"AoristClass"	"-ii-t-liw-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"	"Stem"						"CVC"		"ModClass"	"-ii-t-liw-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"	"Stem"						"CVC"		"NegClass"	"-laaw-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"	"Stem"						"CVC"		"PartClass"	"law-"
